Comparaison
sans frott	avec frott
0.7853981633974483	0.7853981633974483
0.7853981633974483	0.7853981633974483
0.7853912337509926	0.7853912337509926
0.7853773744580813	0.7853773746931987
0.7853565855667346	0.7853565865071961
0.7853288671729938	0.7853288695241243
0.7852942194209229	0.7852942241231311
0.7852526425026114	0.7852526507313716
0.7852041366581768	0.7852041498240084
0.7851487021757683	0.7851487219242113
0.7850863393915712	0.7850863676031586
0.7850170486898123	0.7850170874800395
0.7849408305027646	0.7849408822220554
0.7848576853107547	0.7848577525444236
0.7847676136421691	0.7847676992103809
0.7846706160734618	0.7846707230311881
0.7845666932291631	0.7845668248661348
0.784455845781888	0.7844560056225451
0.7843380744523463	0.7843382662557843
0.7842133800093525	0.7842136077692653
0.784081763269837	0.7840820312144569
0.7839432250988577	0.7839435376908916
0.7837977664096119	0.7837981283461752
0.7836453881634493	0.7836458043759957
0.783486091369886	0.783486567024134
0.7833198770866183	0.7833204175824746
0.7831467464195375	0.7831473573910174
0.7829667005227455	0.7829673878378898
0.7827797405985712	0.7827805103593596
0.7825858678975869	0.7825867264398484
0.7823850837186257	0.7823860376119458
0.7821773894088	0.7821784454564241
0.7819627863635199	0.7819639516022538
0.7817412760265126	0.7817425577266198
0.7815128598898422	0.7815142655549376
0.7812775394939308	0.7812790768608712
0.7810353164275792	0.7810369934663502
0.780786192327989	0.7807880172415896
0.7805301688807851	0.7805321501051078
0.7802672478200389	0.7802693940237468
0.7799974309282918	0.779999751012693
0.7797207200365798	0.7797232231354976
0.7794371170244583	0.7794398125040984
0.7791466238200276	0.7791495212788426
0.7788492423999595	0.7788523516685089
0.7785449747895234	0.7785483059303312
0.7782338230626147	0.7782373863700228
0.7779157893417816	0.7779195953418011
0.7775908757982548	0.7775949352484124
0.7772590846519758	0.7772634085411582
0.7769204181716273	0.7769250177199213
0.7765748786746631	0.7765797653331931
0.7762224685273397	0.7762276539781008
0.7758631901447469	0.7758686863004359
0.7754970459908409	0.7755028649946827
0.7751240385784761	0.7751301928040475
0.774744170469439	0.7747506725204887
0.7743574442744817	0.7743643069847472
0.7739638626533565	0.7739710990863773
0.7735634283148503	0.7735710517637779
0.7731561440168208	0.7731641680042253
0.772742012566232	0.772750450843905
0.7723210368191912	0.7723299033679456
0.7718932196809858	0.771902528710452
0.771458564106121	0.7714683300545394
0.7710170730983583	0.771027310632369
0.7705687497107538	0.7705794737251822
0.7701135970456978	0.7701248226633373
0.7696516182549543	0.7696633608263449
0.7691828165397014	0.7691950916429054
0.7687071951505723	0.7687200185909462
0.7682247573876961	0.7682381451976592
0.7677355066007403	0.7677494750395394
0.7672394461889522	0.7672540117424236
0.7667365796012026	0.7667517589815297
0.7662269103360284	0.7662427204814964
0.7657104419416768	0.7657269000164237
0.7651871780161492	0.765204301409913
0.7646571222072461	0.764674928535109
0.7641202782126122	0.7641387853147408
0.7635766497797819	0.763595875721164
0.7630262407062257	0.7630462037764039
0.7624690548393965	0.7624897735521974
0.7619050960767765	0.7619265891700371
0.7613343683659247	0.7613566548012151
0.7607568757045249	0.760779974666867
0.7601726221404336	0.7601965530380167
0.759581611771729	0.7596063942356216
0.7589838487467601	0.7590095026306177
0.7583793372641958	0.7584058826439661
0.7577680815730755	0.7577955387466988
0.7571500859728587	0.7571784754599655
0.7565253548134762	0.7565546973550807
0.7558938924953807	0.7559242090535712
0.7552557034695991	0.7552870152272236
0.7546107922377833	0.7546431205981331
0.7539591633522628	0.7539925299387512
0.7533008214160977	0.7533352480719353
0.752635771083131	0.7526712798709974
0.751964017058042	0.7520006302597537
0.7512855640964	0.7513233042125751
0.7506004170047182	0.7506393067544366
0.7499085806405079	0.7499486429609682
0.749210059912333	0.7492513179585059
0.748504859779865	0.7485473369241423
0.747792985253938	0.7478367050857787
0.7470744413966043	0.7471194277221762
0.7463492333211901	0.7463955101630081
0.7456173661923516	0.7456649577889121
0.7448788452261313	0.7449277760315426
0.7441336756900145	0.7441839703736239
0.7433818629029862	0.7434335463490029
0.7426234122355883	0.7426765095427027
0.7418583291099765	0.7419128655909758
0.7410866189999787	0.741142620181358
0.7403082874311521	0.7403657790527226
0.7395233399808413	0.7395823479953343
0.738731782278237	0.7387923328509036
0.737933620004434	0.7379957395126417
0.7371288588924899	0.7371925739253151
0.7363175047274845	0.7363828420853005
0.7354995633465777	0.73556655004064
0.7346750406390701	0.7347437038910966
0.7338439425464611	0.7339143097882093
0.7330062750625094	0.7330783739353492
0.7321620442332919	0.732235902587775
0.7313112561572641	0.7313869020526887
0.7304539169853199	0.7305313786892922
0.7295900329208515	0.7296693389088428
0.7287196102198097	0.7288007891747098
0.7278426551907643	0.727925736002431
0.7269591741949645	0.7270441859597689
0.7260691736463992	0.7261561456667672
0.7251726600118579	0.7252616217958076
0.724269639810991	0.7243606210716661
0.7233601196163709	0.7234531502715705
0.7224441060535525	0.7225392162252564
0.721521605801134	0.7216188258150242
0.7205926255908183	0.7206919859757963
0.7196571722074729	0.7197587036951735
0.718715252489192	0.7188189860134923
0.7177668733273564	0.7178728400238815
0.7168120416666952	0.7169202728723193
0.7158507645053462	0.7159612917576899
0.7148830488949172	0.7149959039318405
0.7139089019405465	0.7140241166996385
0.7129283308009642	0.7130459374190274
0.7119413426885527	0.7120613735010844
0.7109479448694076	0.7110704324100765
0.7099481446633983	0.7100731216635172
0.7089419494442287	0.7090694488322233
0.7079293666394978	0.7080594215403712
0.70691040373076	0.7070430474655528
0.7058850682535855	0.7060203343388324
0.7048533677976209	0.7049912899448023
0.7038153100066487	0.7039559221216392
